0	1	27.0792
1	2	26.461
2	3	17.3613
3	4	16.4818
4	5	12.1496
5	6	11.6056
6	7	10.5921
7	8	10.6547
8	9	10.8076
9	10	11.1162
10	11	10.1425
11	12	10.5827
12	13	9.94065
13	14	10.4771
14	15	9.90122
15	16	9.97767
16	17	10.1705
17	18	10.1821
18	19	9.92628
19	20	9.82926
20	21	10.0012
21	22	9.84285
22	23	9.91441
23	24	9.93022
24	25	10.0042
25	26	9.87689
26	27	9.99468
27	28	9.87023
28	29	9.80284
29	30	9.88655
30	31	9.94265
31	32	9.93484
32	33	9.87023
33	34	9.85225
34	35	9.83866
35	36	10.045
36	37	9.82609
37	38	9.82926
38	39	9.85694
39	40	9.84251
40	41	9.85225
41	42	9.84285
42	43	9.85225
43	44	9.82748
44	45	9.9148
45	46	9.85191
46	47	9.80284
47	48	9.92489
48	49	9.80284
49	50	9.84656
50	51	9.8501
51	52	9.82748
52	53	9.84251
53	54	9.8232
54	55	9.87417
55	56	9.83297
56	57	9.90025
57	58	9.8232
58	59	9.84962
59	60	9.8232
60	61	9.81643
61	62	9.81643
62	63	9.83286
63	64	9.80284
64	65	9.80284
65	66	9.8125
66	67	9.82926
67	68	9.80284
68	69	9.85225
69	70	9.85225
70	71	9.82748
71	72	9.81643
72	73	9.8125
73	74	9.80284
74	75	9.80284
75	76	9.86452
76	77	9.82609
77	78	9.82609
78	79	9.83297
79	80	9.84962
80	81	9.82926
81	82	9.84656
82	83	9.82748
83	84	9.85749
84	85	9.8125
85	86	9.83286
86	87	9.8232
87	88	9.80284
88	89	9.80284
89	90	9.83657
90	91	9.81643
91	92	9.81643
92	93	9.82609
93	94	9.8125
94	95	9.80284
95	96	9.80284
96	97	9.85791
97	98	9.80284
98	99	9.81643
99	100	9.80284
